id,date_accident,accident_type,district,longitude,latitude,road_condition,weather_condition,road_part,number_of_participants,vehicle_brand_uz,vehicle_model_uz,vehicle_color_uz,year_manufacture
148908,2023-05-05,piyodani urib yuborish,Namangan shahri,71.6643,40.9841,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Spark,oq,2018.0
148907,2023-05-21,piyodani urib yuborish,Urganch shahri,60.6097,41.5668,quruq,kun ochiq,yo'lning tog'ri qismi,2,Daewoo,Nexia,sariq,2005.0
148906,2023-05-07,to'qnashuv,Norin tumani,72.0079,40.9305,quruq,kun ochiq,yo'lning tog'ri qismi,3,Chevrolet,Damas,oq,2012.0
148905,2023-05-05,velosipedchini urib yuborish,Namangan shahri,71.6625,41.0002,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Nexia 3,oq,2017.0
148904,2023-05-14,to'siqqa urilish,Uychi tumani,71.8412,41.0448,quruq,kun ochiq,yo'lning tog'ri qismi,4,Chevrolet,Lacetti,oq,2013.0
148903,2023-05-02,to'qnashuv,Qo'shko'pir tumani,60.3646,41.4918,quruq,kun ochiq,tartibga solinmagan chorraha,3,Chevrolet,Damas,qaymoq rang,2019.0
148902,2023-05-05,piyodani urib yuborish,Chortoq tumani,71.8103,41.053,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Nexia,oq,2014.0
148901,2023-05-04,piyodani urib yuborish,Namangan shahri,71.7264,41.0456,quruq,kun ochiq,yo'lning tog'ri qismi,2,ZIL,130,qora,1970.0
148900,2023-04-30,to'qnashuv,Chortoq tumani,71.8235,41.069,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Cobalt,qaymoq rang,2013.0
148899,2023-05-03,YTHning boshqa turlari,Namangan shahri,71.6866,41.0049,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Damas,oq,2022.0
148898,2023-05-02,piyodani urib yuborish,To'raqo'rg'on tumani,71.5182,40.9977,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Nexia 3,oq,2018.0
148897,2023-05-09,to'qnashuv,Yangiqo'rg'on tumani,71.7392,41.1571,quruq,kun ochiq,yo'lning tog'ri qismi,3,Chevrolet,Lacetti,oq,2014.0
148896,2023-05-01,piyodani urib yuborish,Namangan tumani,71.6106,40.9303,quruq,kun ochiq,yo'lning tog'ri qismi,2,AZLK,412,yashil,1983.0
148895,2023-05-02,to'qnashuv,Chust tumani,71.284,40.9833,quruq,kun ochiq,yo'lning tog'ri qismi,2,HOWO,ZZ4257N3241,qora,2018.0
148894,2023-05-02,velosipedchini urib yuborish,Chortoq tumani,71.8185,41.0802,quruq,kun ochiq,yo'lning tog'ri qismi,2,Lada(VAZ),2106,to'q sariq,1986.0
148893,2023-05-01,velosipedchini urib yuborish,Chust tumani,71.2334,41.0173,quruq,kun ochiq,yo'lning tog'ri qismi,2,Lada(VAZ),2101,oq,1976.0
